
/begin_header
/missing=-999
/delimiter=space
!
! Water absorption and scattering coefficients
! 200nm - 2450nm
!
! Absorption coefficients were derived from Pope and Fry and Kou et. al.,
!
! Scattering coefficients were derived from Zhang et al. (2009)
! using a temperature of 20 degrees C and a salinity of 38.4 g/kg
!
!       Pope, R. M. and E. S. Fry, 1997, "Absorption spectrum (380-700 nm) of
!               pure water. II. Integrating cavity measurements,"
!               Appl. Opt.,36, 8710-8723.
!
!       Kou, L., D. Labrie, P. Chylek, 1993, "Refractive indices of water and
!               ice in the 0.65-2.5 m spectral range,"
!               Appl. Opt.,32, 3531-3540.
!
!	Zhang, X., L. Hu, and M-X. He, 2009, "Scattering by pure seawater:
		Effect of salinity,"
		Opt. Express 17, 5698-5710.
!
! NOTE: for backscatter, we use 0.5*bw
!
/fields=wavelength,aw,bw
/units=nm,m^-1,m^-1
/end_header
242.6 0.678140 0.0664148
242.7 0.676530 0.0662776
242.8 0.674920 0.0661408
242.9 0.673310 0.0660042
243.0 0.671700 0.0658681
243.1 0.670090 0.0657324
243.2 0.668480 0.0655970
243.3 0.666870 0.0654620
243.4 0.665260 0.0653273
243.5 0.663650 0.0651931
243.6 0.662040 0.0650592
243.7 0.660430 0.0649256
243.8 0.658820 0.0647923
243.9 0.657210 0.0646595
244.0 0.655600 0.0645270
244.1 0.653990 0.0643948
244.2 0.652380 0.0642631
244.3 0.650770 0.0641316
244.4 0.649160 0.0640006
244.5 0.647550 0.0638698
244.6 0.645940 0.0637394
244.7 0.644330 0.0636094
244.8 0.642720 0.0634797
244.9 0.641110 0.0633503
245.0 0.639500 0.0632213
245.1 0.637890 0.0630927
245.2 0.636280 0.0629644
245.3 0.634670 0.0628364
245.4 0.633060 0.0627087
245.5 0.631450 0.0625814
245.6 0.629840 0.0624545
245.7 0.628230 0.0623278
245.8 0.626620 0.0622015
245.9 0.625010 0.0620756
246.0 0.623400 0.0619500
246.1 0.621790 0.0618246
246.2 0.620180 0.0616997
246.3 0.618570 0.0615751
246.4 0.616960 0.0614508
246.5 0.615350 0.0613268
246.6 0.613740 0.0612031
246.7 0.612130 0.0610798
246.8 0.610520 0.0609568
246.9 0.608910 0.0608341
247.0 0.607300 0.0607118
247.1 0.605690 0.0605897
247.2 0.604080 0.0604680
247.3 0.602470 0.0603466
247.4 0.600860 0.0602255
247.5 0.599250 0.0601048
247.6 0.597640 0.0599843
247.7 0.596030 0.0598642
247.8 0.594420 0.0597444
247.9 0.592810 0.0596249
248.0 0.591200 0.0595057
248.1 0.589590 0.0593867
248.2 0.587980 0.0592682
248.3 0.586370 0.0591500
248.4 0.584760 0.0590320
248.5 0.583150 0.0589144
248.6 0.581540 0.0587970
248.7 0.579930 0.0586800
248.8 0.578320 0.0585632
248.9 0.576710 0.0584468
249.0 0.575100 0.0583307
249.1 0.573490 0.0582148
249.2 0.571880 0.0580993
249.3 0.570270 0.0579841
249.4 0.568660 0.0578691
249.5 0.567050 0.0577545
249.6 0.565440 0.0576402
249.7 0.563830 0.0575261
249.8 0.562220 0.0574123
249.9 0.560610 0.0572989
250.0 0.559000 0.0571857
250.1 0.557980 0.0570729
250.2 0.556960 0.0569603
250.3 0.555940 0.0568480
250.4 0.554920 0.0567360
250.5 0.553900 0.0566243
250.6 0.552880 0.0565128
250.7 0.551860 0.0564017
250.8 0.550840 0.0562908
250.9 0.549820 0.0561803
251.0 0.548800 0.0560700
251.1 0.547780 0.0559599
251.2 0.546760 0.0558502
251.3 0.545740 0.0557408
251.4 0.544720 0.0556316
251.5 0.543700 0.0555227
251.6 0.542680 0.0554141
251.7 0.541660 0.0553058
251.8 0.540640 0.0551977
251.9 0.539620 0.0550899
252.0 0.538600 0.0549823
252.1 0.537580 0.0548751
252.2 0.536560 0.0547682
252.3 0.535540 0.0546615
252.4 0.534520 0.0545551
252.5 0.533500 0.0544489
252.6 0.532480 0.0543430
