4, channel 4 SRF extracted from AHI-8_SpectralResponsivity_Data.xlsx (release Sept 2013)
Number of data points:
1336
Wavenumber (cm-1)   Filter response
    11337.000000       0.063634
    11338.000000       0.065294
    11339.000000       0.067050
    11340.000000       0.068910
    11341.000000       0.070868
    11342.000000       0.072919
    11343.000000       0.075058
    11344.000000       0.077278
    11345.000000       0.079574
    11346.000000       0.081941
    11347.000000       0.084372
    11348.000000       0.086863
    11349.000000       0.089407
    11350.000000       0.091998
    11351.000000       0.094636
    11352.000000       0.097376
    11353.000000       0.100235
    11354.000000       0.103202
    11355.000000       0.106269
    11356.000000       0.109426
    11357.000000       0.112663
    11358.000000       0.115970
    11359.000000       0.119338
    11360.000000       0.122758
    11361.000000       0.126219
    11362.000000       0.129713
    11363.000000       0.133230
    11364.000000       0.136765
    11365.000000       0.140367
    11366.000000       0.144044
    11367.000000       0.147792
    11368.000000       0.151603
    11369.000000       0.155473
    11370.000000       0.159395
    11371.000000       0.163364
    11372.000000       0.167373
    11373.000000       0.171417
    11374.000000       0.175490
    11375.000000       0.179586
    11376.000000       0.183699
    11377.000000       0.187829
    11378.000000       0.192008
    11379.000000       0.196239
    11380.000000       0.200517
    11381.000000       0.204837
    11382.000000       0.209194
    11383.000000       0.213582
    11384.000000       0.217996
    11385.000000       0.222430
    11386.000000       0.226880
    11387.000000       0.231340
    11388.000000       0.235805
    11389.000000       0.240270
    11390.000000       0.244734
    11391.000000       0.249227
    11392.000000       0.253747
    11393.000000       0.258292
    11394.000000       0.262856
    11395.000000       0.267435
    11396.000000       0.272023
    11397.000000       0.276615
    11398.000000       0.281207
    11399.000000       0.285794
    11400.000000       0.290371
    11401.000000       0.294934
    11402.000000       0.299477
    11403.000000       0.303998
    11404.000000       0.308511
    11405.000000       0.313018
    11406.000000       0.317520
    11407.000000       0.322016
    11408.000000       0.326506
    11409.000000       0.330991
    11410.000000       0.335469
    11411.000000       0.339941
    11412.000000       0.344407
    11413.000000       0.348868
    11414.000000       0.353322
    11415.000000       0.357769
    11416.000000       0.362211
    11417.000000       0.366646
    11418.000000       0.371075
    11419.000000       0.375498
    11420.000000       0.379915
    11421.000000       0.384327
    11422.000000       0.388732
    11423.000000       0.393131
    11424.000000       0.397525
    11425.000000       0.401912
    11426.000000       0.406294
    11427.000000       0.410671
    11428.000000       0.415041
    11429.000000       0.419405
    11430.000000       0.423750
    11431.000000       0.428078
    11432.000000       0.432393
    11433.000000       0.436698
    11434.000000       0.440998
    11435.000000       0.445297
    11436.000000       0.449598
    11437.000000       0.453906
    11438.000000       0.458224
    11439.000000       0.462556
    11440.000000       0.466906
    11441.000000       0.471279
    11442.000000       0.475677
    11443.000000       0.480090
    11444.000000       0.484514
    11445.000000       0.488949
    11446.000000       0.493396
    11447.000000       0.497856
    11448.000000       0.502327
    11449.000000       0.506811
    11450.000000       0.511307
    11451.000000       0.515816
    11452.000000       0.520337
    11453.000000       0.524871
    11454.000000       0.529419
    11455.000000       0.533980
    11456.000000       0.538546
    11457.000000       0.543118
    11458.000000       0.547698
    11459.000000       0.552288
    11460.000000       0.556891
    11461.000000       0.561510
    11462.000000       0.566146
    11463.000000       0.570803
    11464.000000       0.575482
    11465.000000       0.580187
    11466.000000       0.584919
    11467.000000       0.589682
    11468.000000       0.594478
    11469.000000       0.599324
    11470.000000       0.604224
    11471.000000       0.609168
    11472.000000       0.614150
    11473.000000       0.619159
    11474.000000       0.624188
    11475.000000       0.629229
    11476.000000       0.634271
    11477.000000       0.639309
    11478.000000       0.644331
    11479.000000       0.649331
    11480.000000       0.654300
    11481.000000       0.659229
    11482.000000       0.664131
    11483.000000       0.669026
    11484.000000       0.673914
    11485.000000       0.678792
    11486.000000       0.683661
    11487.000000       0.688517
    11488.000000       0.693360
    11489.000000       0.698188
    11490.000000       0.703000
    11491.000000       0.707794
    11492.000000       0.712570
    11493.000000       0.717324
    11494.000000       0.722057
    11495.000000       0.726764
    11496.000000       0.731440
    11497.000000       0.736089
    11498.000000       0.740715
    11499.000000       0.745322
    11500.000000       0.749914
    11501.000000       0.754494
    11502.000000       0.759067
    11503.000000       0.763636
    11504.000000       0.768205
    11505.000000       0.772779
    11506.000000       0.777361
    11507.000000       0.781955
    11508.000000       0.786564
    11509.000000       0.791183
    11510.000000       0.795809
    11511.000000       0.800440
    11512.000000       0.805074
    11513.000000       0.809708
    11514.000000       0.814340
    11515.000000       0.818968
    11516.000000       0.823589
    11517.000000       0.828203
    11518.000000       0.832805
    11519.000000       0.837395
    11520.000000       0.841970
    11521.000000       0.846526
    11522.000000       0.851052
    11523.000000       0.855549
    11524.000000       0.860022
    11525.000000       0.864479
    11526.000000       0.868926
    11527.000000       0.873369
    11528.000000       0.877816
    11529.000000       0.882272
    11530.000000       0.886744
    11531.000000       0.891239
    11532.000000       0.895764
    11533.000000       0.900324
    11534.000000       0.904926
    11535.000000       0.909679
    11536.000000       0.914660
    11537.000000       0.919808
    11538.000000       0.925065
    11539.000000       0.930370
    11540.000000       0.935664
    11541.000000       0.940889
    11542.000000       0.945983
    11543.000000       0.950888
    11544.000000       0.955546
    11545.000000       0.959895
    11546.000000       0.963879
    11547.000000       0.967436
    11548.000000       0.970643
    11549.000000       0.973892
    11550.000000       0.977169
    11551.000000       0.980420
    11552.000000       0.983592
    11553.000000       0.986634
    11554.000000       0.989493
    11555.000000       0.992116
    11556.000000       0.994450
    11557.000000       0.996445
    11558.000000       0.998046
    11559.000000       0.999203
    11560.000000       0.999862
    11561.000000       1.000000
    11562.000000       0.999995
    11563.000000       0.999984
    11564.000000       0.999968
    11565.000000       0.999945
    11566.000000       0.999917
    11567.000000       0.999884
    11568.000000       0.999845
    11569.000000       0.999801
    11570.000000       0.999751
    11571.000000       0.999696
    11572.000000       0.999636
    11573.000000       0.999571
    11574.000000       0.999501
    11575.000000       0.999307
    11576.000000       0.998851
    11577.000000       0.998162
    11578.000000       0.997271
    11579.000000       0.996209
    11580.000000       0.995007
    11581.000000       0.993695
    11582.000000       0.992304
    11583.000000       0.990865
    11584.000000       0.989408
    11585.000000       0.987964
    11586.000000       0.986563
    11587.000000       0.985236
    11588.000000       0.983993
    11589.000000       0.982739
    11590.000000       0.981459
    11591.000000       0.980154
    11592.000000       0.978826
    11593.000000       0.977476
    11594.000000       0.976107
    11595.000000       0.974719
    11596.000000       0.973314
    11597.000000       0.971894
    11598.000000       0.970460
    11599.000000       0.969014
    11600.000000       0.967558
    11601.000000       0.966092
    11602.000000       0.964602
    11603.000000       0.963078
    11604.000000       0.961525
    11605.000000       0.959949
    11606.000000       0.958354
    11607.000000       0.956744
    11608.000000       0.955126
    11609.000000       0.953504
    11610.000000       0.951882
    11611.000000       0.950267
    11612.000000       0.948662
    11613.000000       0.947072
    11614.000000       0.945504
    11615.000000       0.943955
    11616.000000       0.942411
    11617.000000       0.940870
    11618.000000       0.939333
    11619.000000       0.937800
    11620.000000       0.936272
    11621.000000       0.934750
    11622.000000       0.933235
    11623.000000       0.931727
    11624.000000       0.930227
    11625.000000       0.928736
    11626.000000       0.927255
    11627.000000       0.925784
    11628.000000       0.924323
    11629.000000       0.922861
    11630.000000       0.921390
    11631.000000       0.919915
    11632.000000       0.918441
    11633.000000       0.916973
    11634.000000       0.915516
    11635.000000       0.914073
    11636.000000       0.912652
    11637.000000       0.911255
    11638.000000       0.909888
    11639.000000       0.908555
    11640.000000       0.907262
    11641.000000       0.906013
    11642.000000       0.904806
    11643.000000       0.903620
    11644.000000       0.902450
    11645.000000       0.901300
    11646.000000       0.900170
    11647.000000       0.899062
    11648.000000       0.897978
    11649.000000       0.896919
    11650.000000       0.895887
    11651.000000       0.894884
    11652.000000       0.893911
    11653.000000       0.892970
    11654.000000       0.892062
    11655.000000       0.891189
    11656.000000       0.890345
    11657.000000       0.889525
    11658.000000       0.888726
    11659.000000       0.887948
    11660.000000       0.887190
    11661.000000       0.886452
    11662.000000       0.885734
    11663.000000       0.885033
    11664.000000       0.884350
    11665.000000       0.883683
    11666.000000       0.883033
    11667.000000       0.882398
    11668.000000       0.881777
    11669.000000       0.881170
    11670.000000       0.880568
    11671.000000       0.879973
    11672.000000       0.879385
    11673.000000       0.878806
    11674.000000       0.878240
    11675.000000       0.877687
    11676.000000       0.877151
    11677.000000       0.876632
    11678.000000       0.876133
    11679.000000       0.875656
    11680.000000       0.875203
    11681.000000       0.874776
